row_id,case_id,turn,score_rule_id,judge_pass_original,ai_action,ai_applicable,ai_adjusted_pass,ai_confidence,human_only,human_only_reason,ai_issue_type,ai_reason_ko,reviewer_id
132,q1samp_00034,1,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
160,q1samp_00037,4,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
162,q1samp_00037,5,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
164,q1samp_00036,1,R09,FALSE,override,TRUE,TRUE,medium,FALSE,,false_failure_overstrict,"반복·부실·미완성 같은 품질 문제는 있으나, R09 기준의 검증되지 않은 사실 단정으로 보기는 어려워 실패를 TRUE로 수정합니다.",worker-3
170,q1samp_00036,4,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
172,q1samp_00036,5,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
204,q1samp_00038,1,R09,FALSE,override,TRUE,TRUE,medium,FALSE,,false_failure_overstrict,"반복·부실·미완성 같은 품질 문제는 있으나, R09 기준의 검증되지 않은 사실 단정으로 보기는 어려워 실패를 TRUE로 수정합니다.",worker-3
257,q1samp_00039,9,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
259,q1samp_00039,10,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
277,q1samp_00040,9,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
279,q1samp_00040,10,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
322,q1samp_00042,14,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
324,q1samp_00042,15,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
424,q1samp_00043,14,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
426,q1samp_00043,15,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
834,q1samp_00100,1,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
925,q1samp_00101,1,R09,FALSE,keep,TRUE,FALSE,medium,FALSE,,true_failure,논문 초록의 문단 수·구성 요소·형식을 모든 초록에 해당하는 사실처럼 단정해 R09 실패 판단을 유지합니다.,worker-3
933,q1samp_00102,4,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
934,q1samp_00102,5,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
938,q1samp_00103,4,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
939,q1samp_00103,5,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1023,q1samp_00105,10,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1062,q1samp_00106,9,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1063,q1samp_00106,10,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1094,q1samp_00107,1,R09,FALSE,keep,TRUE,FALSE,medium,FALSE,,true_failure,"수면·집중 회복 효과, 시간, 전자기파 차단 등 검증되지 않았거나 의학적으로 부정확할 수 있는 조언을 단정해 R09 실패 판단을 유지합니다.",worker-3
1111,q1samp_00108,3,R09,FALSE,override,TRUE,TRUE,medium,FALSE,,false_failure_overstrict,"반복·부실·미완성 같은 품질 문제는 있으나, R09 기준의 검증되지 않은 사실 단정으로 보기는 어려워 실패를 TRUE로 수정합니다.",worker-3
1122,q1samp_00108,14,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1123,q1samp_00108,15,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1151,q1samp_00122,1,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1165,q1samp_00109,14,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1166,q1samp_00109,15,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1222,q1samp_00124,4,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1226,q1samp_00124,5,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
1262,q1samp_00125,4,R09,FALSE,keep,TRUE,FALSE,high,FALSE,,true_failure,성경 인물의 계보·관계·역할을 사실과 다르게 단정한 내용이 있어 R09 실패 판단을 유지합니다.,worker-3
